snapped_at,price,market_cap,total_volume
2018-10-03 00:00:00 UTC,0.001960227257521638,0.0,4979.809590507595
2018-10-04 00:00:00 UTC,0.0020156701221089954,760902.0679029396,2022.762769021221
2018-10-05 00:00:00 UTC,0.0019755107249782747,745742.162525899,1985.4583176879562
2018-10-06 00:00:00 UTC,0.00195655662958771,738330.8465421813,2779.543700458679
2018-10-07 00:00:00 UTC,0.001872701637981815,707000.3081438276,610.8131622336223
2018-10-08 00:00:00 UTC,0.0019591514191483286,739566.6333562557,869.5393587588278
2018-10-09 00:00:00 UTC,0.0019952143363907043,753171.4251455052,937.5352069752747
2018-10-10 00:00:00 UTC,0.0019469760237731972,736320.6528378343,1812.9946392371853
2018-10-11 00:00:00 UTC,0.0019423256987609314,730476.0893659117,1089.7263697459057
2018-10-12 00:00:00 UTC,0.0017484568119348043,660746.4528450042,693.7873784718797
2018-10-13 00:00:00 UTC,0.0017708943331399705,668500.8352031017,651.0341020380821
2018-10-14 00:00:00 UTC,0.002045138934244457,772026.3485312873,5050.729782461473
2018-10-15 00:00:00 UTC,0.0019251404755195366,726727.7282920675,909.8889083959459
2018-10-16 00:00:00 UTC,0.0017912338646946465,675088.7781423175,2287.617150023728
2018-10-17 00:00:00 UTC,0.0016632629984925157,627870.7220679658,602.2572834327459
2018-10-18 00:00:00 UTC,0.0018276920167397597,677821.1734046781,2982.130893243843
2018-10-19 00:00:00 UTC,0.001902629348856807,719276.3738064361,1967.3635523424518
2018-10-20 00:00:00 UTC,0.0017779724403197915,669828.534717598,1701.2522558377711
2018-10-21 00:00:00 UTC,0.0019066312247078073,720714.3655443905,856.6629473478519
2018-10-22 00:00:00 UTC,0.0018347022502550998,693704.6380249325,1951.1323250523742
2018-10-23 00:00:00 UTC,0.0018916575721530428,715128.5665803786,811.6188663505667
2018-10-24 00:00:00 UTC,0.0018071051302980493,683164.0781683391,960.993689091085
2018-10-25 00:00:00 UTC,0.0019981992378426835,755405.9348458196,7100.85499243488
2018-10-26 00:00:00 UTC,0.0019975253124327576,755151.1618258627,1121.910740615995
2018-10-27 00:00:00 UTC,0.0018863675387918743,713114.932765442,663.7080153475396
2018-10-28 00:00:00 UTC,0.0022820981150140605,863873.0666331247,10646.91625376309
2018-10-29 00:00:00 UTC,0.0023456373087913235,887676.8748521466,6643.776788479063
2018-10-30 00:00:00 UTC,0.0023426806881410374,886806.1968466799,3236.3274990570817
2018-10-31 00:00:00 UTC,0.0023114130464927407,874970.0390148188,1880.2005581854223
2018-11-01 00:00:00 UTC,0.002528537335170467,957160.9947263822,2373.132919503195
2018-11-02 00:00:00 UTC,0.0024948251200331865,944399.4598554512,1402.9861373863357
2018-11-03 00:00:00 UTC,0.0024404940528916104,923832.7956632961,1078.2316315988794
2018-11-04 00:00:00 UTC,0.0026226122432935713,992772.4256455277,3933.6414143271877
2018-11-05 00:00:00 UTC,0.002463272036479822,959546.1503200958,1370.2107440300297
2018-11-06 00:00:00 UTC,0.002599870206342426,987413.416538715,1470.9530143045406
2018-11-07 00:00:00 UTC,0.0026156999123759534,992349.1649461851,6051.90133069135
2018-11-08 00:00:00 UTC,0.0027344773246426074,1037518.0400986387,775.9941919894673
2018-11-09 00:00:00 UTC,0.0025210906964892635,956842.6855967008,2694.834785634779
2018-11-10 00:00:00 UTC,0.002493345062251197,947698.5150182827,3375.996199200881
2018-11-11 00:00:00 UTC,0.002383963675920506,905413.5519543792,1872.2240896374665
2018-11-12 00:00:00 UTC,0.0024186758921108786,918597.0208446921,1851.425814081863
2018-11-13 00:00:00 UTC,0.0024382853520953447,926044.5633537394,6686.1517664436205
2018-11-14 00:00:00 UTC,0.0023822784225740225,900899.6468823707,1032.1734098814343
2018-11-15 00:00:00 UTC,0.0019267285268785809,731758.682732184,3764.099092363794
2018-11-16 00:00:00 UTC,0.0018101834144778341,686640.9455171466,1903.8430488429613
2018-11-17 00:00:00 UTC,0.0019273544176035184,731996.3918676563,2627.1783200344116
2018-11-18 00:00:00 UTC,0.0015883847507051079,603239.4127466069,6703.804969170418
2018-11-19 00:00:00 UTC,0.0016419350353776476,624113.851438818,859.3945801425498
2018-11-20 00:00:00 UTC,0.0011810127606622224,448540.79335824825,4402.591852298399
2018-11-21 00:00:00 UTC,0.0012135391579258894,460894.1027547954,3499.8157635318
2018-11-22 00:00:00 UTC,0.001257651045669826,477647.5043980605,1933.0980071551467
2018-11-23 00:00:00 UTC,0.0010908447344377245,416364.54888332,3300.5839292250325
2018-11-24 00:00:00 UTC,0.0008930604021649168,339178.40233942657,3567.957607984199
2018-11-25 00:00:00 UTC,0.0008446915373090068,320808.22909579234,2772.394939340019
2018-11-26 00:00:00 UTC,0.000981458298024163,373201.6614912934,3551.6968286302904
2018-11-27 00:00:00 UTC,0.0010391637059991383,382874.3547358135,13876.763112365694
2018-11-28 00:00:00 UTC,0.0010495191450684287,399095.3176351798,9854.942090219236
2018-11-29 00:00:00 UTC,0.0011648080210453508,435699.789280443,4259.663412685916
2018-11-30 00:00:00 UTC,0.001136375770739369,431587.9613990964,5115.061903590534
2018-12-01 00:00:00 UTC,0.0012589656277806893,476342.96363863157,49260.863785184985
2018-12-02 00:00:00 UTC,0.0012606045326569969,479077.07204209955,3373.784397417605
2018-12-03 00:00:00 UTC,0.0012761530573298407,484501.34978471755,589.1048112473457
2018-12-04 00:00:00 UTC,0.0010552174033721473,400764.5531353771,723.1412189422979
2018-12-05 00:00:00 UTC,0.001061396076862547,402450.9356519296,710.5935056045026
